Date,Open,High,Low,Close,Adj Close,Volume
11/30/2016,111.599998,112.199997,110.269997,110.519997,105.325768,36162300
12/1/2016,110.370003,110.940002,109.029999,109.489998,104.344177,37086900
12/2/2016,109.169998,110.089996,108.849998,109.900002,104.734901,26528000
12/5/2016,110,110.029999,108.25,109.110001,103.982048,34324500
12/6/2016,109.5,110.360001,109.190002,109.949997,104.782547,26195500
12/7/2016,109.260002,111.190002,109.160004,111.029999,105.811821,29998700
12/8/2016,110.860001,112.43,110.599998,112.120003,106.850578,27068300
12/9/2016,112.309998,114.699997,112.309998,113.949997,108.594566,34402600
12/12/2016,113.290001,115,112.489998,113.300003,107.975121,26374400
12/13/2016,113.839996,115.919998,113.75,115.190002,109.776306,43733800
12/14/2016,115.040001,116.199997,114.980003,115.190002,109.776306,34031800
12/15/2016,115.379997,116.730003,115.230003,115.82,110.376678,46524500
12/16/2016,116.470001,116.5,115.650002,115.970001,110.51963,44351100
12/19/2016,115.800003,117.379997,115.75,116.639999,111.15815,27779400
12/20/2016,116.739998,117.5,116.68,116.949997,111.453575,21425000
12/21/2016,116.800003,117.400002,116.779999,117.059998,111.558411,23783200
12/22/2016,116.349998,116.510002,115.639999,116.290001,110.824593,26085900
12/23/2016,115.589996,116.519997,115.589996,116.519997,111.043777,14249500
12/27/2016,116.519997,117.800003,116.489998,117.260002,111.749001,18296900
12/28/2016,117.519997,118.019997,116.199997,116.760002,111.272507,20905900
12/29/2016,116.449997,117.110001,116.400002,116.730003,111.243919,15039500
12/30/2016,116.650002,117.199997,115.43,115.82,110.376678,30586300
1/3/2017,115.800003,116.330002,114.760002,116.150002,110.691154,28781900
1/4/2017,115.849998,116.510002,115.75,116.019997,110.567276,21118100
1/5/2017,115.919998,116.860001,115.809998,116.610001,111.129562,22193600
1/6/2017,116.779999,118.160004,116.470001,117.910004,112.368469,31751900
1/9/2017,117.949997,119.43,117.940002,118.989998,113.397697,33561900
1/10/2017,118.769997,119.379997,118.300003,119.110001,113.51207,24462100
1/11/2017,118.739998,119.93,118.599998,119.75,114.121986,27588600
1/12/2017,118.900002,119.300003,118.209999,119.25,113.645454,27086200
1/13/2017,119.110001,119.620003,118.809998,119.040001,113.445343,26111900
1/17/2017,118.339996,120.239998,118.220001,120,114.360237,34439800
1/18/2017,120,120.5,119.709999,119.989998,114.350693,23713000
1/19/2017,119.400002,120.089996,119.370003,119.779999,114.150558,25597300
1/20/2017,120.449997,120.449997,119.730003,120,114.360237,32597900
1/23/2017,120,120.809998,119.769997,120.080002,114.436478,22050200
1/24/2017,119.550003,120.099998,119.5,119.970001,114.33165,23211000
1/25/2017,120.419998,122.099998,120.279999,121.879997,116.151878,32377600
1/26/2017,121.669998,122.440002,121.599998,121.940002,116.209045,26337600
1/27/2017,122.139999,122.349998,121.599998,121.949997,116.218582,20562900
1/30/2017,120.93,121.629997,120.660004,121.629997,115.913605,30377500
1/31/2017,121.150002,121.389999,120.620003,121.349998,115.646774,49201000
2/1/2017,127.029999,130.490005,127.010002,128.75,122.69899,111985000
2/2/2017,127.980003,129.389999,127.779999,128.529999,122.489342,33710400
2/3/2017,128.309998,129.190002,128.160004,129.080002,123.013496,24507300
2/6/2017,129.130005,130.5,128.899994,130.289993,124.166626,26845900
2/7/2017,130.539993,132.089996,130.449997,131.529999,125.348328,38183800
2/8/2017,131.350006,132.220001,131.220001,132.039993,125.834366,23004100
2/9/2017,131.649994,132.449997,131.119995,132.419998,126.743645,28349900
2/10/2017,132.460007,132.940002,132.050003,132.119995,126.45649,20065500
2/13/2017,133.080002,133.820007,132.75,133.289993,127.57634,23035400
2/14/2017,133.470001,135.089996,133.25,135.020004,129.232193,33226200
2/15/2017,135.520004,136.270004,134.619995,135.509995,129.701187,35623100
2/16/2017,135.669998,135.899994,134.839996,135.350006,129.54805,22584600
2/17/2017,135.100006,135.830002,135.100006,135.720001,129.902206,22198200
2/21/2017,136.229996,136.75,135.979996,136.699997,130.84021,24507200
2/22/2017,136.429993,137.119995,136.110001,137.110001,131.232605,20836900
2/23/2017,137.380005,137.479996,136.300003,136.529999,130.67746,20788200
2/24/2017,135.910004,136.660004,135.279999,136.660004,130.801926,21776600
2/27/2017,137.139999,137.440002,136.279999,136.929993,131.060333,20257400
2/28/2017,137.080002,137.440002,136.699997,136.990005,131.117783,23482900
3/1/2017,137.889999,140.149994,137.600006,139.789993,133.797699,36414600
3/2/2017,140,140.279999,138.759995,138.960007,133.003311,26211000
3/3/2017,138.779999,139.830002,138.589996,139.779999,133.788147,21108100
3/6/2017,139.369995,139.770004,138.600006,139.339996,133.367004,21750000
3/7/2017,139.059998,139.979996,138.789993,139.520004,133.539307,17446300
3/8/2017,138.949997,139.800003,138.820007,139,133.04158,18707200
3/9/2017,138.740005,138.789993,137.050003,138.679993,132.735291,22155900
3/10/2017,139.25,139.360001,138.639999,139.139999,133.175598,19612800
3/13/2017,138.850006,139.429993,138.820007,139.199997,133.233002,17421700
3/14/2017,139.300003,139.649994,138.839996,138.990005,133.032028,15309100
3/15/2017,139.410004,140.75,139.029999,140.460007,134.439026,25691800
3/16/2017,140.720001,141.020004,140.259995,140.690002,134.659134,19232000
3/17/2017,141,141,139.889999,139.990005,133.989166,43885000
3/20/2017,140.399994,141.5,140.229996,141.460007,135.396149,21542000
3/21/2017,142.110001,142.800003,139.729996,139.839996,133.845581,39529900
3/22/2017,139.850006,141.600006,139.759995,141.419998,135.357864,25860200
3/23/2017,141.259995,141.580002,140.610001,140.919998,134.879257,20346300
3/24/2017,141.5,141.740005,140.350006,140.639999,134.611282,22395600
3/27/2017,139.389999,141.220001,138.619995,140.880005,134.841019,23575100
3/28/2017,140.910004,144.039993,140.619995,143.800003,137.635849,33374800
3/29/2017,143.679993,144.490005,143.190002,144.119995,137.942093,29190000
3/30/2017,144.190002,144.5,143.5,143.929993,137.760239,21207300
3/31/2017,143.720001,144.270004,143.009995,143.660004,137.501846,19661700
4/3/2017,143.710007,144.119995,143.050003,143.699997,137.540146,19985700
4/4/2017,143.25,144.889999,143.169998,144.770004,138.564255,19891400
4/5/2017,144.220001,145.460007,143.809998,144.020004,137.84639,27717900
4/6/2017,144.289993,144.520004,143.449997,143.660004,137.501846,21149000
4/7/2017,143.729996,144.179993,143.270004,143.339996,137.195557,16672200
4/10/2017,143.600006,143.880005,142.899994,143.169998,137.032837,18933400
4/11/2017,142.940002,143.350006,140.059998,141.630005,135.558868,30379400
4/12/2017,141.600006,142.149994,141.009995,141.800003,135.721542,20350000
4/13/2017,141.910004,142.380005,141.050003,141.050003,135.003723,17822900
4/17/2017,141.479996,141.880005,140.869995,141.830002,135.750275,16582100
4/18/2017,141.410004,142.039993,141.110001,141.199997,135.147308,14697500
4/19/2017,141.880005,142,140.449997,140.679993,134.649567,17328400
4/20/2017,141.220001,142.919998,141.160004,142.440002,136.334137,23319600
4/21/2017,142.440002,142.679993,141.850006,142.270004,136.171432,17320900
4/24/2017,143.5,143.949997,143.179993,143.639999,137.482697,17134300
4/25/2017,143.910004,144.899994,143.869995,144.529999,138.334549,18871500
4/26/2017,144.470001,144.600006,143.380005,143.679993,137.520996,20041200
4/27/2017,143.919998,144.160004,143.309998,143.789993,137.626251,14246300
4/28/2017,144.089996,144.300003,143.270004,143.649994,137.492264,20860400
5/1/2017,145.100006,147.199997,144.960007,146.580002,140.296677,33602900
5/2/2017,147.539993,148.089996,146.839996,147.509995,141.186783,45352200
5/3/2017,145.589996,147.490005,144.270004,147.059998,140.756119,45697000
5/4/2017,146.520004,147.139999,145.809998,146.529999,140.248795,23371900
5/5/2017,146.759995,148.979996,146.759995,148.960007,142.574631,27327700
5/8/2017,149.029999,153.699997,149.029999,153.009995,146.45105,48752400
5/9/2017,153.869995,154.880005,153.449997,153.990005,147.389038,39130400
5/10/2017,153.630005,153.940002,152.110001,153.259995,146.690308,25805700
5/11/2017,152.449997,154.070007,152.309998,153.949997,147.958923,27255100
